CreationTime,Operation,UserId,ObjectId,ResultStatus,ClientIP,AppId,RequestId,CorrelationId
2024-01-01T08:20:33Z,UserLoggedIn,george.wickham@winchester77.onmicrosoft.com,Login,Succeeded,228.187.229.214,Azure Active Directory,02462ba7-c3ca-4445-84a2-2c27892943e4,4386a75a-9508-437b-ab64-913ddb1e0698
2024-01-01T10:15:30Z,UserLoggedIn,mister.bennet@winchester77.onmicrosoft.com,Login,Succeeded,142.92.201.129,Azure Active Directory,ac0d1637-c9d8-4623-9643-9f0dce464325,ab94b0e4-80b3-41c1-8e3f-4842e7d78451
2024-01-01T11:33:47Z,UserLoginFailed,elizabeth.bennet@winchester77.onmicrosoft.com,Login,Failed,35.236.112.95,Azure Active Directory,e66ae79c-f4af-41e3-9a0c-3e4cf242cd2d,afe568ae-e973-4804-bb27-0f1f1d08875e
2024-01-01T14:23:02Z,UserLoggedIn,jane.bennet@winchester77.onmicrosoft.com,Login,Succeeded,49.8.18.32,Azure Active Directory,3ee4d962-8cc2-4925-8f02-5b97fe815827,04e6ad14-3cf3-44f9-9cad-f59a25284ef2
2024-01-01T15:56:19Z,UserLoggedIn,mister.bennet@winchester77.onmicrosoft.com,Login,Succeeded,88.52.75.72,Azure Active Directory,b85f8df2-50b4-4b0e-a7ff-277ceef1f46b,537c3de7-3a56-4c44-872c-51f7523b7100
2024-01-02T07:18:05Z,UserLoggedIn,mister.bennet@winchester77.onmicrosoft.com,Login,Succeeded,18.105.210.130,Azure Active Directory,c02bc7a1-e18f-4af2-a760-4674c05f6abd,b69473fa-fbce-46f4-aa26-07d95a012a42
2024-01-02T07:50:30Z,UserLoggedIn,george.wickham@winchester77.onmicrosoft.com,Login,Succeeded,114.35.167.70,Azure Active Directory,bd2a70d2-6408-4003-8d3a-5baa78788445,0bf073ec-7df0-41b4-8f71-f43e771d0584
2024-01-02T08:23:13Z,UserLoginFailed,fiztwilliam.darcy@winchester77.onmicrosoft.com,Login,Failed,238.119.226.11,Azure Active Directory,e49b3679-68ac-a23e-a49f-4bc495294596,d08218ef-818c-4bb6-a6a7-513e3e08fe11
2024-01-02T08:24:33Z,UserLoggedIn,fiztwilliam.darcy@winchester77.onmicrosoft.com,Login,Succeeded,238.119.226.11,Azure Active Directory,f29b3770-08df-488e-a41f-4bc235290936,a01238ef-468c-a98b6-abe7-698e3f56fe13
2024-01-02T10:37:17Z,UserLoggedIn,catherine.debourgh@winchester77.onmicrosoft.com,Login,Succeeded,121.235.52.143,Azure Active Directory,849891d3-9706-45e2-80b9-e0ac9282b9b5,344033ba-68d7-4610-99c9-1ce6ba270eae
